@relation train
@attribute Attr1 numeric
@attribute Attr2 {'a','b'}
@attribute Attr3 {'a','b','c'}
@attribute Attr4 {'N','W'}
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 {'a','b','c'}
@attribute Attr10 numeric
@attribute Attr11 numeric
@attribute Attr12 numeric
@attribute Attr13 numeric
@attribute Attr14 numeric
@attribute Attr15 numeric
@attribute Attr16 numeric
@attribute Attr17 numeric
@attribute Attr18 numeric
@attribute Attr19 numeric
@attribute class numeric
@data
1,'a','a','N',58200,219,-27,-38,'a',1,0,1,0,0,0,0,0,3000,3000,0
2,'a','a','N',7460,240,-28,-32,'a',0,0,0,0,0,0,0,0,0,0,0
3,'b','b','W',28930,948,-13,3,'b',0,0,0,0,0,0,0,0,0,0,0
4,'a','a','N',8460,252,-18,-28,'a',1,1,0,0,0,0,0,0,200,200,0
5,'b','c','W',45020,936,-1,35,'b',1,0,1,0,0,0,0,0,1000,1000,0
6,'b','b','W',29710,473,-18,-20,'a',0,0,0,0,0,0,0,0,0,0,0
7,'a','a','W',424650,1069,1,7,'a',2,0,2,0,0,0,0,0,6000,4000,0
8,'b','a','W',27810,265,-6,11,'a',1,1,0,0,0,0,0,0,500,500,0
9,'a','b','W',29550,486,-16,-13,'a',0,0,0,0,0,0,0,0,0,0,0
10,'a','b','W',36230,822,177,151,'b',1,0,1,0,0,0,0,0,8000,8000,0
11,'b','a','W',58850,679,113,-20,'a',3,3,?,0,0,0,0,0,1300,800,1
12,'a','b','W',10220,434,-45,-14,'a',0,0,0,0,0,0,0,0,0,0,0
13,'a','a','N',9980,170,-54,-13,'a',1,0,1,0,0,0,0,?,1000,1000,0
14,'a','a','W',6800,224,-79,-47,'a',0,0,0,0,0,0,0,0,0,0,0
15,'a','a','N',5990,53,-42,-64,'a',0,0,0,0,0,0,0,0,0,0,0
16,'a','a','W',77740,758,182,57,'a',2,1,1,0,0,0,0,0,1200,1000,1
17,'b','a','W',71650,1173,-53,-40,'a',1,0,1,0,0,0,0,0,7000,7000,0
18,'a','b','W',95620,996,-26,-17,'a',0,?,0,0,0,0,0,0,0,0,0
19,'a','a','N',5550,44,-31,-12,'a',2,1,1,0,0,0,0,0,4300,4000,0
20,'b','a','W',19220,149,-34,-33,'a',6,2,4,0,0,0,0,0,10700,5000,0
21,'a','a','N',340,6,-87,-85,'a',0,0,0,0,0,0,0,0,0,0,0
22,'a','a','W',8380,47,-78,-85,'a',1,0,1,0,0,0,0,0,6000,6000,0
23,'b','a','W',45170,557,9,59,'a',3,2,0,1,0,0,0,0,70700,70000,0
24,'a','a','N',41120,132,?,-43,'a',0,0,0,0,0,0,0,0,0,0,0
25,'a','b','W',83570,488,-24,-3,'a',3,2,1,0,0,0,0,0,1800,1000,0
26,'b','a','W',39120,651,13,18,'a',2,2,0,0,0,0,0,0,1000,900,0
27,'a','b','W',10730,233,-26,-36,'b',0,0,0,0,0,0,0,0,0,0,0
28,'b','a','W',25850,504,-18,13,'a',0,0,0,0,0,0,0,0,0,0,0
29,'a','a','W',29690,636,-10,18,'a',1,1,0,0,0,0,0,0,800,800,0
30,'a','a','W',?,440,-31,-35,'a',0,0,0,0,0,0,0,0,0,0,0
31,'a','b','W',14370,338,-44,-24,'a',1,1,0,0,0,0,0,0,400,400,0
32,'a','a','N',11440,121,-68,-37,'a',0,0,0,0,0,0,0,0,0,0,0
33,'a','b','W',39880,342,15,21,'a',3,1,2,0,0,0,0,0,2800,1000,0
34,'a','a','W',7100,227,-37,-19,'a',0,0,0,0,0,0,0,0,0,0,0
35,'a','a','W',92380,514,25,29,'a',6,5,1,0,0,0,0,0,4300,2000,0
36,'a','a','N',9680,139,14,-48,'a',1,1,0,0,0,0,0,0,700,700,0
37,'a','a','W',36400,411,-7,-5,'a',2,1,1,0,0,0,0,0,8700,8000,0
38,'a','b','W',56350,999,26,19,'a',2,2,0,0,0,0,0,0,1000,800,0
39,'b','a','N',7590,227,-34,1,'a',0,0,0,0,0,0,0,0,0,0,0
40,'b','a','W',37570,539,8,0,'a',0,0,0,0,0,0,0,0,0,0,0
41,'a','b','W',11160,543,-41,7,'a',0,0,0,0,0,0,0,0,0,0,0
42,'b','b','N',21920,763,112,117,'a',1,0,1,0,0,0,0,0,4000,4000,0
43,'a','a','W',28130,347,-19,3,'a',3,2,1,0,0,0,0,0,3100,2000,0
44,'b','b','W',48330,1389,42,45,'b',0,0,0,0,0,0,0,0,0,0,0
45,'a','a','N',15400,24,-59,-69,'a',1,0,1,0,0,0,0,0,1000,1000,0
46,'a','a','W',2880,92,-74,-67,'a',1,0,1,0,0,0,0,0,2000,2000,0
47,'b','b','W',31030,534,-8,0,'a',1,1,0,0,0,0,0,0,600,600,0
48,'b','a','N',17620,557,91,151,'a',1,1,0,0,0,0,0,0,300,300,0
49,'b','a','W',17570,211,-61,-53,'a',4,3,0,1,0,0,0,0,70800,70000,0
50,'a','a','N',5440,126,-18,-28,'a',1,1,0,0,0,0,0,0,300,300,0
51,'a','a','N',117040,328,-57,-45,'a',1,0,1,0,0,0,0,0,2000,2000,0
52,'a','b','W',23050,202,-33,-32,'b',4,2,2,0,0,0,0,0,5100,3000,0
53,'a','b','W',57040,754,99,52,'a',1,0,1,0,0,0,0,0,3000,3000,0
54,'a','a','W',14140,200,-39,-50,'a',0,0,0,0,0,0,0,0,0,0,0
55,'b','a','W',103140,762,-42,-35,'a',3,1,2,0,0,0,0,0,7500,5000,0
56,'b','a','W',13070,189,13,-23,'a',0,0,0,0,0,0,0,0,0,0,0
57,'a','a','N',7120,227,-23,2,'a',0,0,0,0,0,0,0,0,0,0,0
58,'a','a','W',12250,342,-64,-41,'a',0,0,0,0,0,0,0,0,0,0,0
59,'b','b','N',15500,255,72,86,'a',1,0,1,0,0,0,0,0,2000,2000,0
60,'a','a','W',17370,379,-42,-26,'a',0,0,0,0,0,0,0,0,0,0,0
61,'a','c','N',47250,961,517,305,'c',1,1,0,0,0,0,0,0,200,?,0
62,'a','a','N',19500,80,-51,-51,'a',1,0,1,0,0,0,0,0,4000,4000,0
63,'a','a','W',26130,260,-15,-21,'a',6,3,3,0,0,0,0,0,7700,3000,0
64,'a','a','N',71840,255,54,28,'a',1,0,1,0,0,0,0,0,6000,6000,0
65,'a','a','W',27870,238,-6,-5,'a',0,0,0,0,0,0,0,0,0,0,0
66,'b','a','N',9340,153,-10,-60,'a',0,0,0,0,0,0,0,0,0,0,0
67,'b','a','N',6970,154,-33,-25,'a',0,0,0,0,0,0,0,0,0,0,0
68,'a','a','W',8450,121,-63,-70,'a',0,0,0,0,0,0,0,0,0,0,0
69,'a','a','W',620720,1789,17,23,'a',0,0,0,0,0,0,0,0,0,0,0
70,'a','b','N',10890,283,16,-9,'a',0,0,0,0,0,0,0,0,0,0,0
71,'b','a','W',401730,1329,-32,-31,'a',3,2,0,1,0,0,0,0,91700,90000,1
72,'b','a','W',81480,1112,182,40,'a',1,1,0,0,0,0,0,0,300,300,0
73,'a','a','W',514800,1369,95,94,'a',7,4,2,1,0,0,0,0,15700,10000,0
74,'b','a','W',13600,368,-11,20,'a',1,1,0,0,0,0,0,0,800,800,0
75,'a','a','N',251120,624,1,1,'a',0,0,0,0,0,0,0,0,0,0,0
